,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
Doubao,Doubao,GPE,0.16666666666666666,0.25,en,2,,,,,,,,,,
Montenegrin,Montenegrin,LOC,-0.013888888888888895,0.2972222222222222,en,2,,,,,,,,,,
Mideast,Mideast,LOC,-0.125,0.16666666666666666,en,2,,,,,,,,,,
Rajasthan,Rajasthan,GPE,0.0,0.0,en,2,,,,,,,,,,
Leningrad,Leningrad,GPE,0.05277777777777778,0.2972222222222222,en,2,,,,,,,,,,
Agra,Agra,GPE,0.03333333333333333,0.06666666666666667,en,2,,,,,,,,,,
Mississippi State's,Mississippi State's,GPE,-0.016666666666666677,0.26666666666666666,en,2,,,,,,,,,,
Antalya,Antalya,GPE,0.09166666666666667,0.19166666666666668,en,2,,,,,,,,,,
Konya,Konya,GPE,0.09166666666666667,0.19166666666666668,en,2,,,,,,,,,,
Toluca,Toluca,GPE,0.15,0.25,en,2,,,,,,,,,,
Balkans,Balkans,LOC,0.0,0.16666666666666666,en,2,,,,,,,,,,
Elektrostal,Elektrostal,GPE,-0.014583333333333335,0.30625,en,2,,,,,,,,,,
Gainesville,Gainesville,GPE,-0.14040404040404042,0.35050505050505054,en,2,,,,,,,,,,
Va.,Va.,GPE,-0.14040404040404042,0.35050505050505054,en,2,,,,,,,,,,
Sea of Azov,Sea of Azov,LOC,0.0,0.0,en,2,,,,,,,,,,
Western Balkans,Western Balkans,LOC,0.022727272727272724,0.07575757575757576,en,2,,,,,,,,,,
BRUSSELS,BRUSSELS,GPE,0.14166666666666666,0.475,en,2,,,,,,,,,,
Strait of Hormuz,Strait of Hormuz,LOC,0.0,0.0,en,2,,,,,,,,,,
Dortmund,Dortmund,GPE,0.375,0.375,en,2,,,,,,,,,,
Salonica,Salonica,GPE,-0.125,0.25,en,2,,,,,,,,,,
Sylt,Sylt,GPE,0.375,0.375,en,2,,,,,,,,,,
Simferopol,Simferopol,GPE,-0.025,0.025,en,2,,,,,,,,,,
UNIFIL,UNIFIL,GPE,-0.1,0.0,en,2,,,,,,,,,,
lebanon,lebanon,GPE,-0.1,0.0,en,2,,,,,,,,,,
Berkeley County,Berkeley County,GPE,-0.025,0.125,en,2,,,,,,,,,,
Tartu,Tartu,GPE,0.0,0.27,en,2,,,,,,,,,,
Chornobyl,Chornobyl,GPE,0.025,0.18333333333333335,en,2,,,,,,,,,,
Tivat,Tivat,GPE,-0.013888888888888895,0.2972222222222222,en,2,,,,,,,,,,
AUSTIN,AUSTIN,GPE,0.5,0.5,en,2,,,,,,,,,,
economi,economi,GPE,0.03333333333333333,0.03333333333333333,en,2,,,,,,,,,,
San Francisco,San Francisco,GPE,0.03333333333333333,0.26666666666666666,en,2,,,,,,,,,,
Kill Zone,Kill Zone,GPE,0.02,0.18,en,2,,,,,,,,,,
Kent,Kent,GPE,0.0,0.0,en,2,,,,,,,,,,
Foxborough,Foxborough,GPE,0.09333333333333335,0.2466666666666667,en,2,,,,,,,,,,
West Bank,West Bank,GPE,0.125,0.2,en,2,,,,,,,,,,
the Global South,the Global South,LOC,0.045,0.10125,en,2,,,,,,,,,,
Americas,Americas,LOC,0.25,0.3125,en,2,,,,,,,,,,
Strait,Strait,LOC,0.0,0.0,en,2,,,,,,,,,,
Houston,Houston,GPE,-0.25,0.5,en,2,,,,,,,,,,
RIGA,RIGA,GPE,0.12407407407407407,0.4648148148148148,en,2,,,,,,,,,,
Nabatieh,Nabatieh,GPE,0.07791666666666668,0.31999999999999995,en,2,,,,,,,,,,
The Middle East,The Middle East,LOC,-0.0125,0.11666666666666667,en,2,,,,,,,,,,
Yuzhny,Yuzhny,GPE,-0.025,0.025,en,2,,,,,,,,,,
Chernobyl,Chernobyl,GPE,0.008333333333333335,0.16666666666666669,en,2,,,,,,,,,,
Izmail,Izmail,GPE,0.1416666666666667,0.39166666666666666,en,2,,,,,,,,,,
Hoxton,Hoxton,GPE,0.3,0.7,en,1,,,,,,,,,,
U.S.A.,U.S.A.,GPE,-0.13333333333333333,0.15555555555555556,en,1,,,,,,,,,,
Astana,Astana,GPE,0.05,0.35,en,1,,,,,,,,,,
art'otel,art'otel,GPE,0.3,0.7,en,1,,,,,,,,,,
Nagurskoye,Nagurskoye,GPE,-0.45,0.55,en,1,,,,,,,,,,
Arlington,Arlington,GPE,0.09999999999999999,0.3,en,1,,,,,,,,,,
Far North,Far North,LOC,0.05,1.0,en,1,,,,,,,,,,
Shanxi,Shanxi,GPE,0.1,0.1,en,1,,,,,,,,,,
Eur,Eur,GPE,0.0,0.0,en,1,,,,,,,,,,
Fr...,Fr...,GPE,0.0,0.3333333333333333,en,1,,,,,,,,,,
Congo DR,Congo DR,GPE,0.4,0.35,en,1,,,,,,,,,,
morti e,morti e,GPE,-0.125,0.375,en,1,,,,,,,,,,
Working,Working,GPE,0.0,0.0,en,1,,,,,,,,,,
MELBOURNE,MELBOURNE,GPE,0.375,0.475,en,1,,,,,,,,,,
INDIANAPOLIS,INDIANAPOLIS,GPE,0.375,0.475,en,1,,,,,,,,,,
St. Pete…,St. Pete…,GPE,0.0,0.0,en,1,,,,,,,,,,
SAN FRANCISCO BAY AREA STADIUM,SAN FRANCISCO BAY AREA STADIUM,LOC,-0.07500000000000001,0.3666666666666667,en,1,,,,,,,,,,
Trabzon province,Trabzon province,GPE,0.027777777777777787,0.29444444444444445,en,1,,,,,,,,,,
M2 Browning,M2 Browning,LOC,-0.2,0.5,en,1,,,,,,,,,,
Ukrainia,Ukrainia,GPE,0.0,0.0,en,1,,,,,,,,,,
Jazeera,Jazeera,GPE,0.027777777777777776,0.2592592592592593,en,1,,,,,,,,,,
French Republic,French Republic,GPE,0.0,0.0,en,1,,,,,,,,,,
Yuncheng,Yuncheng,GPE,0.0,1.0,en,1,,,,,,,,,,
Maryland,Maryland,GPE,-0.37777777777777777,0.5888888888888889,en,1,,,,,,,,,,
the Upper East Side,the Upper East Side,LOC,0.0,0.0625,en,1,,,,,,,,,,
ceasefireRBC,ceasefireRBC,GPE,0.5,0.5,en,1,,,,,,,,,,
ISLAMABAD,ISLAMABAD,GPE,0.5,0.5,en,1,,,,,,,,,,
LA,LA,GPE,0.0,0.0,en,1,,,,,,,,,,
Druzkhivka,Druzkhivka,GPE,0.0,0.0,en,1,,,,,,,,,,
Corn Ship Off,Corn Ship Off,LOC,0.0,0.0,en,1,,,,,,,,,,
Karachi,Karachi,GPE,-0.2,0.0,en,1,,,,,,,,,,
Oklahoma,Oklahoma,GPE,0.0,0.0,en,1,,,,,,,,,,
The Black Sea,The Black Sea,LOC,-0.08333333333333333,0.26666666666666666,en,1,,,,,,,,,,
Kerala,Kerala,GPE,0.03333333333333333,0.06666666666666667,en,1,,,,,,,,,,
the South Pacific archipelago,the South Pacific archipelago,LOC,0.20500000000000002,0.43666666666666665,en,1,,,,,,,,,,
Pacific archipelago,Pacific archipelago,LOC,0.06212121212121211,0.4292929292929293,en,1,,,,,,,,,,
Pithoragarh,Pithoragarh,GPE,-0.125,0.375,en,1,,,,,,,,,,
the Gulf region,the Gulf region,LOC,0.1,0.9,en,1,,,,,,,,,,
Ru...,Ru...,GPE,0.0,0.0,en,1,,,,,,,,,,
Manhattan,Manhattan,GPE,-0.05,0.4,en,1,,,,,,,,,,
MIAMI,MIAMI,GPE,0.03333333333333333,0.06666666666666667,en,1,,,,,,,,,,
Sanlitun,Sanlitun,GPE,-0.13181818181818183,0.5772727272727273,en,1,,,,,,,,,,
VIENNA,VIENNA,GPE,0.18409090909090908,0.7,en,1,,,,,,,,,,
Black Sea Ports,Black Sea Ports,LOC,-0.2222222222222222,0.37777777777777777,en,1,,,,,,,,,,
Quasi-Moon,Quasi-Moon,LOC,0.25,0.3333333333333333,en,1,,,,,,,,,,
South Ch…,South Ch…,GPE,-0.08333333333333333,0.25,en,1,,,,,,,,,,
Black Sea Tankers,Black Sea Tankers,LOC,-0.05208333333333333,0.4666666666666667,en,1,,,,,,,,,,
North Carolina,North Carolina,GPE,0.17857142857142858,0.2857142857142857,en,1,,,,,,,,,,
Rheinmetall,Rheinmetall,GPE,0.0,0.0,en,1,,,,,,,,,,
Wildberries,Wildberries,GPE,0.009999999999999998,0.12,en,1,,,,,,,,,,
Fort Bragg,Fort Bragg,GPE,0.17857142857142858,0.2857142857142857,en,1,,,,,,,,,,
South Pacific,South Pacific,LOC,0.1678409090909091,0.4361363636363636,en,1,,,,,,,,,,
mor…,mor…,GPE,0.03125,0.25,en,1,,,,,,,,,,
BATABANO,BATABANO,GPE,-0.25,0.375,en,1,,,,,,,,,,
Main Zone,Main Zone,LOC,0.12698412698412698,0.2706349206349206,en,1,,,,,,,,,,
South Carolina,South Carolina,GPE,-0.016666666666666663,0.3111111111111111,en,1,,,,,,,,,,
the Strait…,the Strait…,LOC,0.025,0.1625,en,1,,,,,,,,,,
Kramatorsk,Kramatorsk,GPE,-0.06666666666666667,0.0,en,1,,,,,,,,,,
Dnipropetrovsk,Dnipropetrovsk,GPE,0.16666666666666666,0.16666666666666666,en,1,,,,,,,,,,
Slaviansk,Slaviansk,GPE,0.007142857142857137,0.2261904761904762,en,1,,,,,,,,,,
Petro-Ivanovka,Petro-Ivanovka,GPE,0.0,0.0,en,1,,,,,,,,,,
Odessa Region,Odessa Region,GPE,0.0,0.0,en,1,,,,,,,,,,
Senkaku,Senkaku,GPE,0.0,0.0,en,1,,,,,,,,,,
